"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.id","Input.payload","Answer.audio","Answer.neither","Answer.ocr","Answer.sanity-check","Answer.video","Turkle.Username"
"937300","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74625","248","Mon Sep 15 20:48:53 UTC 2025","Mon Sep 15 20:48:56 UTC 2025","3","Launch and commissioning of the James Webb Space Telescope_0","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a space telescope designed primarily to conduct infrared astronomy."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a space telescope"", ""The JWST is designed primarily for infrared astronomy""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false]","[false,false]","[false,true]","","[true,false]","amart233"
"937301","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74648","248","Tue Sep 16 14:17:14 UTC 2025","Tue Sep 16 14:17:18 UTC 2025","4","Launch and commissioning of the James Webb Space Telescope_1","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""As the largest and most powerful space telescope ever built, it is intended to succeed the Hubble Space Telescope as the premier space observatory of the 2020s."", ""Extracted_Claims"": [""The James Webb Space Telescope is the largest space telescope ever built"", ""The James Webb Space Telescope is the most powerful space telescope ever built"", ""The James Webb Space Telescope is intended to succeed the Hubble Space Telescope"", ""The James Webb Space Telescope aims to become the premier space observatory of the 2020s""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937302","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74649","248","Tue Sep 16 14:17:18 UTC 2025","Tue Sep 16 14:17:53 UTC 2025","35","Launch and commissioning of the James Webb Space Telescope_2","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST project was initiated by NASA in collaboration with the European Space Agency (ESA) and the Canadian Space Agency (CSA)."", ""Extracted_Claims"": [""The JWST project was initiated by NASA"", ""The JWST project involves collaboration with the European Space Agency (ESA)"", ""The JWST project involves collaboration with the Canadian Space Agency (CSA)""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false]","[true,true,false]","[false,false,true]","","[false,false,false]","amart233"
"937303","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74650","248","Tue Sep 16 14:17:53 UTC 2025","Tue Sep 16 14:18:04 UTC 2025","11","Launch and commissioning of the James Webb Space Telescope_3","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""After years of development and multiple delays, the telescope was successfully launched on December 25, 2021, from the ELA-3 launch pad at the Guiana Space Centre in Kourou, French Guiana, aboard an Ariane 5 rocket."", ""Extracted_Claims"": [""The telescope underwent years of development"", ""The launch of the telescope faced multiple delays"", ""The telescope was successfully launched"", ""The launch date was December 25, 2021"", ""The launch took place from the ELA-3 launch pad"", ""The launch site was the Guiana Space Centre"", ""The Guiana Space Centre is located in Kourou, French Guiana"", ""The Ariane 5 rocket was used for the launch""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false,false,false]","[true,true,true,true,true,true,true,true]","[false,false,false,false,false,false,false,false]","","[false,false,false,false,false,false,false,false]","amart233"
"937304","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74651","248","Tue Sep 16 14:18:04 UTC 2025","Tue Sep 16 14:18:12 UTC 2025","8","Launch and commissioning of the James Webb Space Telescope_4","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Following its launch, the JWST began a complex deployment sequence, which included unfolding its sunshield and primary mirror segments."", ""Extracted_Claims"": [""The JWST began a deployment sequence after its launch"", ""The deployment sequence was complex"", ""Unfolding the sunshield was part of the deployment sequence"", ""Unfolding the primary mirror segments was part of the deployment sequence""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937305","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74652","248","Tue Sep 16 14:18:12 UTC 2025","Tue Sep 16 14:18:19 UTC 2025","7","Launch and commissioning of the James Webb Space Telescope_5","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""This process, critical for the telescope's operation, was completed without major issues by January 8, 2022."", ""Extracted_Claims"": [""The process was critical for the telescope's operation"", ""The process was completed by January 8, 2022"", ""There were no major issues during the completion of the process""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false]","[true,true,true]","[false,false,false]","","[false,false,false]","amart233"
"937306","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74653","248","Tue Sep 16 14:18:19 UTC 2025","Tue Sep 16 14:18:54 UTC 2025","35","Launch and commissioning of the James Webb Space Telescope_6","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope then proceeded to its operational orbit around the second Lagrange point (L2), approximately 1.5 million kilometers from Earth, where it arrived on January 24, 2022."", ""Extracted_Claims"": [""The telescope proceeded to its operational orbit"", ""The operational orbit is around the second Lagrange point (L2)"", ""The distance from Earth to the L2 point is approximately 1.5 million kilometers"", ""The telescope arrived at the L2 point on January 24, 2022""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false]","[true,false,false,true]","[false,true,true,false]","","[false,false,false,false]","amart233"
"937307","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74654","248","Tue Sep 16 14:18:54 UTC 2025","Tue Sep 16 14:19:04 UTC 2025","10","Launch and commissioning of the James Webb Space Telescope_7","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The subsequent months were dedicated to cooling the instruments to their operational temperatures, aligning the mirror segments, and calibrating the scientific instruments."", ""Extracted_Claims"": [""Months were dedicated to cooling the instruments"", ""The instruments needed to reach their operational temperatures"", ""Months were dedicated to aligning the mirror segments"", ""Months were dedicated to calibrating the scientific instruments""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937308","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74655","248","Tue Sep 16 14:19:04 UTC 2025","Tue Sep 16 14:19:23 UTC 2025","19","Launch and commissioning of the James Webb Space Telescope_8","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST was officially declared operational and ready for science observations on July 12, 2022, marking the beginning of its mission to explore the early universe, study the atmospheres of exoplanets, and observe some of the most distant galaxies and objects in the cosmos."", ""Extracted_Claims"": [""The JWST was officially declared operational on July 12, 2022"", ""The JWST was declared ready for science observations on July 12, 2022"", ""July 12, 2022 marks the beginning of the JWST's mission"", ""One of the JWST's missions is to explore the early universe"", ""Another mission of the JWST is to study the atmospheres of exoplanets"", ""The JWST is tasked with observing some of the most distant galaxies and objects in the cosmos""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"937309","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74656","248","Tue Sep 16 14:19:23 UTC 2025","Tue Sep 16 14:19:33 UTC 2025","10","Launch and commissioning of the James Webb Space Telescope_9","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a space telescope designed primarily to conduct infrared astronomy."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a space telescope"", ""The JWST is designed primarily for infrared astronomy""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false]","[true,true]","[false,false]","","[false,false]","amart233"
